H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
1.00,0.252,0.010,0.0053,2.090,25.000,3.913,0.000,0.254,0.010,3.968,4.314,0,15.00
1.02,0.252,0.010,0.0053,2.090,25.000,3.913,0.000,0.254,0.010,3.968,4.088,0,15.00
1.04,0.252,0.010,0.0053,2.090,25.000,3.913,0.000,0.254,0.010,3.968,3.891,0,15.00
1.06,0.258,0.010,0.0053,2.230,21.000,3.823,0.000,0.260,0.010,3.876,3.740,0,15.00
1.08,0.280,0.010,0.0049,2.190,20.000,3.529,0.000,0.282,0.010,3.571,3.608,0,15.00
1.10,0.299,0.008,0.0049,2.170,21.000,2.641,0.000,0.301,0.008,2.676,2.794,0,15.00
1.12,0.299,0.008,0.0050,2.170,20.000,2.641,0.000,0.301,0.008,2.676,2.714,0,15.00
1.14,0.302,0.008,0.0050,2.170,20.000,2.615,0.000,0.304,0.008,2.649,2.629,0,15.00
1.16,0.308,0.008,0.0051,2.170,20.000,2.563,0.000,0.310,0.008,2.597,2.562,0,15.00
1.18,0.318,0.008,0.0051,2.140,19.000,2.483,0.000,0.320,0.008,2.516,2.502,0,15.00
1.20,0.330,0.008,0.0051,2.120,19.000,2.394,0.000,0.332,0.008,2.424,2.457,0,15.00
1.22,0.345,0.009,0.0051,2.030,23.000,2.578,0.000,0.347,0.009,2.609,2.717,0,15.00
1.24,0.356,0.009,0.0051,2.030,34.000,2.499,0.000,0.358,0.009,2.528,2.658,0,15.00
1.26,0.340,0.009,0.0051,1.930,34.000,2.616,0.000,0.342,0.009,2.647,2.605,0,15.00
1.28,0.340,0.009,0.0052,1.930,30.000,2.615,0.000,0.342,0.009,2.647,2.559,0,15.00
1.30,0.345,0.008,0.0052,1.840,33.000,2.290,0.000,0.347,0.008,2.319,2.247,0,15.00
1.32,0.361,0.008,0.0053,1.830,29.000,2.188,0.000,0.363,0.008,2.216,2.227,0,15.00
1.34,0.379,0.008,0.0053,1.760,29.000,2.085,0.000,0.381,0.008,2.111,2.228,0,15.00
1.36,0.379,0.008,0.0053,1.650,30.000,2.085,0.000,0.381,0.008,2.111,2.254,0,15.00
1.38,0.375,0.008,0.0054,1.550,31.000,2.106,0.000,0.377,0.008,2.133,2.280,0,15.00
1.40,0.366,0.008,0.0054,1.480,32.000,2.158,0.000,0.368,0.008,2.186,2.309,0,15.00
1.42,0.366,0.008,0.0054,1.480,31.000,2.158,0.000,0.368,0.008,2.186,2.332,0,15.00
1.44,0.342,0.008,0.0054,1.470,32.000,2.308,0.000,0.344,0.008,2.339,2.166,0,15.00
1.46,0.312,0.008,0.0054,1.470,32.000,2.529,0.000,0.314,0.008,2.564,1.774,0,15.00
1.48,0.294,0.008,0.0054,1.470,32.000,2.683,0.000,0.296,0.008,2.721,1.490,0,15.00
1.50,0.292,0.007,0.0053,1.470,28.000,2.362,0.000,0.294,0.007,2.397,1.160,0,15.00
1.52,0.307,0.007,0.0054,1.470,23.000,2.246,0.000,0.309,0.007,2.280,1.075,0,15.00
1.54,0.650,0.007,0.0058,1.470,22.000,1.064,0.000,0.652,0.007,1.077,0.994,0,15.00
1.56,1.277,0.009,0.0061,1.470,22.000,0.699,0.000,1.280,0.009,0.705,1.085,0,15.00
1.58,1.327,0.009,0.0064,1.470,22.000,0.672,0.000,1.330,0.009,0.678,0.923,0,15.00
1.60,1.104,0.010,0.0061,1.470,21.000,0.898,0.000,1.107,0.010,0.906,0.910,0,15.00
1.62,0.893,0.013,0.0058,1.470,22.000,1.445,0.000,0.895,0.013,1.456,1.084,0,15.00
1.64,0.949,0.018,0.0059,1.470,21.000,1.886,0.000,0.951,0.018,1.897,1.434,0,15.00
1.66,1.716,0.018,0.0057,1.470,17.000,1.044,0.000,1.718,0.018,1.049,1.432,0,15.00
1.68,1.913,0.018,0.0062,1.470,10.000,0.936,0.000,1.916,0.018,0.941,1.511,0,15.00
1.70,1.661,0.015,0.0061,1.450,9.000,0.898,0.000,1.664,0.015,0.903,1.354,0,15.00
1.72,1.400,0.018,0.0064,1.440,15.000,1.279,0.000,1.403,0.018,1.286,1.728,0,15.00
1.74,0.922,0.016,0.0064,1.450,16.000,1.724,0.000,0.925,0.016,1.735,1.611,0,15.00
1.76,0.669,0.017,0.0064,1.440,16.000,2.522,0.000,0.672,0.017,2.541,1.808,0,15.00
1.78,0.554,0.019,0.0063,1.430,16.000,3.402,0.000,0.557,0.019,3.430,2.319,0,15.00
1.80,0.407,0.018,0.0065,1.420,15.000,4.378,0.000,0.410,0.018,4.423,2.642,0,15.00
1.82,0.375,0.017,0.0063,1.420,16.000,4.486,0.000,0.378,0.017,4.533,3.028,0,15.00
1.84,0.358,0.015,0.0059,1.420,15.000,4.145,0.000,0.360,0.015,4.190,3.334,0,15.00
1.86,0.370,0.015,0.0063,1.420,16.000,4.009,0.000,0.373,0.015,4.054,3.928,0,15.00
1.88,0.384,0.014,0.0063,1.420,16.000,3.605,0.000,0.387,0.014,3.646,3.862,0,15.00
1.90,0.395,0.013,0.0063,1.400,15.000,3.254,0.000,0.398,0.013,3.291,3.774,0,15.00
1.92,0.341,0.011,0.0064,1.330,15.000,3.183,0.000,0.344,0.011,3.226,3.144,0,15.00
1.94,0.174,0.007,0.0078,1.310,34.000,3.906,0.000,0.177,0.007,4.023,1.915,0,15.00
1.96,0.174,0.007,0.0078,1.310,33.000,3.906,0.000,0.177,0.007,4.023,1.863,0,15.00
1.98,0.456,0.014,0.0079,1.320,25.000,3.031,0.000,0.459,0.014,3.070,3.678,0,15.00
2.00,0.355,0.013,0.0081,1.350,15.000,3.605,0.000,0.358,0.013,3.662,3.393,0,15.00
2.02,0.467,0.013,0.0082,1.410,17.000,2.746,0.000,0.470,0.013,2.784,3.385,0,15.00
2.04,0.546,0.012,0.0082,1.410,21.000,2.169,0.000,0.549,0.012,2.198,3.087,0,15.00
2.06,0.472,0.012,0.0082,1.410,21.000,2.507,0.000,0.475,0.012,2.542,2.933,0,15.00
2.08,0.423,0.013,0.0084,1.420,22.000,3.029,0.000,0.426,0.013,3.073,3.019,0,15.00
2.10,0.412,0.012,0.0084,1.410,22.000,2.868,0.000,0.415,0.012,2.913,2.809,0,15.00
2.12,0.405,0.011,0.0084,1.410,23.000,2.673,0.000,0.408,0.011,2.716,2.541,0,15.00
2.14,0.392,0.010,0.0084,1.420,19.000,2.508,0.000,0.395,0.010,2.551,2.335,0,15.00
2.16,0.399,0.010,0.0085,1.420,15.000,2.463,0.000,0.402,0.010,2.506,2.401,0,15.00
2.18,0.410,0.011,0.0085,1.420,22.000,2.640,0.000,0.413,0.011,2.683,2.707,0,15.00
2.20,0.419,0.010,0.0085,1.420,27.000,2.347,0.000,0.422,0.010,2.387,2.463,0,15.00
2.22,0.417,0.010,0.0085,1.420,25.000,2.358,0.000,0.420,0.010,2.398,2.463,0,15.00
2.24,0.415,0.010,0.0086,1.420,23.000,2.369,0.000,0.419,0.010,2.410,2.465,0,15.00
2.26,0.417,0.010,0.0086,1.420,28.000,2.358,0.000,0.421,0.010,2.398,2.462,0,15.00
2.28,0.361,0.011,0.0087,1.400,4.000,2.993,0.000,0.365,0.011,3.047,2.708,0,15.00
2.30,0.420,0.011,0.0087,1.390,20.000,2.576,0.000,0.424,0.011,2.619,2.712,0,15.00
2.32,0.411,0.011,0.0087,1.390,19.000,2.632,0.000,0.415,0.011,2.676,2.725,0,15.00
2.34,0.401,0.011,0.0087,1.370,21.000,2.697,0.000,0.405,0.011,2.743,2.734,0,15.00
2.36,0.398,0.011,0.0087,1.320,20.000,2.718,0.000,0.402,0.011,2.764,2.738,0,15.00
2.38,0.400,0.010,0.0087,1.300,20.000,2.456,0.000,0.404,0.010,2.500,2.489,0,15.00
2.40,0.402,0.010,0.0088,1.300,19.000,2.444,0.000,0.406,0.010,2.488,2.458,0,15.00
2.42,0.399,0.010,0.0089,1.300,19.000,2.461,0.000,0.403,0.010,2.506,2.462,0,15.00
2.44,0.402,0.010,0.0089,1.320,20.000,2.443,0.000,0.406,0.010,2.488,2.463,0,15.00
2.46,0.409,0.010,0.0090,1.370,20.000,2.401,0.000,0.413,0.010,2.445,2.455,0,15.00
2.48,0.417,0.010,0.0089,1.450,21.000,2.356,0.000,0.421,0.010,2.398,2.453,0,15.00
2.50,0.416,0.010,0.0090,1.480,21.000,2.361,0.000,0.420,0.010,2.404,2.449,0,15.00
2.52,0.413,0.010,0.0090,1.500,21.000,2.378,0.000,0.417,0.010,2.421,2.430,0,17.50
2.54,0.410,0.010,0.0090,1.500,21.000,2.396,0.000,0.414,0.010,2.439,2.412,0,17.50
2.56,0.414,0.010,0.0090,1.490,20.000,2.373,0.000,0.418,0.010,2.415,2.398,0,17.50
2.58,0.402,0.010,0.0091,1.480,16.000,2.442,0.000,0.406,0.010,2.488,2.388,0,17.50
2.60,0.407,0.012,0.0091,1.440,10.000,2.899,0.000,0.411,0.012,2.948,2.863,0,17.50
2.62,0.437,0.011,0.0092,1.440,25.000,2.475,0.000,0.441,0.011,2.517,2.624,0,17.50
2.64,0.433,0.010,0.0092,1.420,34.000,2.268,0.000,0.437,0.010,2.309,2.388,0,17.50
2.66,0.429,0.010,0.0092,1.420,21.000,2.289,0.000,0.433,0.010,2.331,2.390,0,17.50
2.68,0.428,0.011,0.0092,1.430,29.000,2.526,0.000,0.432,0.011,2.570,2.633,0,17.50
2.70,0.421,0.011,0.0093,1.430,32.000,2.567,0.000,0.425,0.011,2.613,2.630,0,17.50
2.72,0.418,0.011,0.0093,1.430,31.000,2.586,0.000,0.422,0.011,2.632,2.625,0,17.50
2.74,0.407,0.010,0.0093,1.430,29.000,2.412,0.000,0.411,0.010,2.457,2.396,0,17.50
2.76,0.407,0.010,0.0093,1.430,18.000,2.412,0.000,0.411,0.010,2.457,2.402,0,17.50
2.78,0.407,0.011,0.0093,1.430,18.000,2.655,0.000,0.411,0.011,2.703,2.622,0,17.50
2.80,0.407,0.011,0.0094,1.430,15.000,2.654,0.000,0.411,0.011,2.703,2.589,0,17.50
2.82,0.416,0.011,0.0094,1.430,13.000,2.598,0.000,0.420,0.011,2.644,2.558,0,17.50
2.84,0.418,0.011,0.0095,1.430,16.000,2.585,0.000,0.422,0.011,2.632,2.726,0,17.50
2.86,0.422,0.011,0.0094,1.430,17.000,2.561,0.000,0.426,0.011,2.607,2.909,0,17.50
2.88,0.464,0.011,0.0095,1.430,17.000,2.331,0.000,0.468,0.011,2.371,2.830,0,17.50
2.90,0.487,0.012,0.0095,1.430,17.000,2.425,0.000,0.491,0.012,2.464,3.005,0,17.50
2.92,0.477,0.011,0.0095,1.430,16.000,2.268,0.000,0.481,0.011,2.306,2.717,0,17.50
