H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
5.42,0.448,0.019,0.0269,4.130,19.000,4.058,0.000,0.459,0.019,4.218,4.235,0,17.50
5.44,0.441,0.019,0.0270,4.180,19.000,4.144,0.000,0.452,0.019,4.309,4.246,0,17.50
5.46,0.431,0.018,0.0271,4.200,20.000,4.056,0.000,0.442,0.018,4.224,4.072,0,17.50
5.48,0.439,0.018,0.0272,4.220,18.000,3.871,0.000,0.450,0.017,4.031,3.974,0,17.50
5.50,0.445,0.019,0.0274,4.230,17.000,3.991,0.000,0.457,0.018,4.154,4.159,0,17.50
5.52,0.454,0.019,0.0276,4.330,20.000,3.964,0.000,0.465,0.018,4.123,4.213,0,17.50
5.54,0.451,0.019,0.0277,4.340,20.000,4.094,0.000,0.462,0.019,4.259,4.332,0,17.50
5.56,0.447,0.018,0.0278,4.350,20.000,3.755,0.000,0.459,0.017,3.913,3.955,0,17.50
5.58,0.444,0.017,0.0279,4.350,18.000,3.675,0.000,0.455,0.017,3.832,3.817,0,17.50
5.60,0.443,0.017,0.0281,4.330,16.000,3.725,0.000,0.454,0.017,3.885,3.845,0,17.50
5.62,0.440,0.018,0.0282,4.350,14.000,3.813,0.000,0.452,0.017,3.977,3.903,0,17.50
5.64,0.442,0.018,0.0284,4.360,16.000,3.951,0.000,0.453,0.018,4.120,4.061,0,17.50
5.66,0.433,0.019,0.0286,4.410,11.000,4.121,0.000,0.444,0.018,4.299,4.147,0,17.50
5.68,0.462,0.020,0.0288,4.440,10.000,4.226,0.000,0.474,0.020,4.397,4.518,0,17.50
5.70,0.462,0.020,0.0291,4.440,19.000,4.246,0.000,0.474,0.020,4.418,4.531,0,17.50
5.72,0.456,0.021,0.0291,4.430,15.000,4.424,0.000,0.468,0.021,4.603,4.655,0,17.50
5.74,0.452,0.021,0.0293,4.440,15.000,4.422,0.000,0.464,0.021,4.605,4.597,0,17.50
5.76,0.454,0.021,0.0295,4.440,16.000,4.396,0.000,0.466,0.021,4.577,4.585,0,17.50
5.78,0.456,0.021,0.0296,4.450,16.000,4.357,0.000,0.468,0.020,4.537,4.541,0,17.50
5.80,0.454,0.020,0.0297,4.440,14.000,4.295,0.000,0.466,0.020,4.476,4.459,0,17.50
5.82,0.453,0.020,0.0299,4.440,15.000,4.281,0.000,0.465,0.020,4.463,4.437,0,17.50
5.84,0.454,0.020,0.0300,4.440,16.000,4.264,0.000,0.467,0.020,4.445,4.438,0,17.50
5.86,0.455,0.020,0.0302,4.440,16.000,4.105,0.000,0.468,0.019,4.283,4.279,0,17.50
5.88,0.457,0.020,0.0304,4.440,15.000,4.152,0.000,0.470,0.019,4.332,4.257,0,17.50
5.90,0.455,0.020,0.0305,4.440,17.000,4.189,0.000,0.468,0.020,4.371,3.228,0,17.50
5.92,0.462,0.020,0.0307,4.440,19.000,4.131,0.000,0.474,0.020,4.310,2.307,0,17.50
5.94,0.454,0.020,0.0308,4.440,21.000,4.109,0.000,0.467,0.019,4.291,1.510,0,17.50
5.96,0.458,0.020,0.0309,4.440,20.000,4.120,0.000,0.471,0.019,4.301,1.106,0,17.50
5.98,0.557,0.022,0.0317,4.440,18.000,3.784,0.000,0.570,0.022,3.929,1.243,0,17.50
6.00,2.121,0.024,0.0323,4.480,17.000,1.114,0.000,2.135,0.024,1.136,1.383,0,18.00
6.02,3.163,0.033,0.0300,4.490,15.000,1.036,0.000,3.175,0.033,1.050,1.626,0,18.50
6.04,5.166,0.030,0.0204,4.570,17.000,0.566,0.000,5.174,0.029,0.571,1.163,0,19.00
6.06,5.841,0.023,0.0202,4.560,11.000,0.397,0.000,5.849,0.023,0.401,0.775,0,19.00
6.08,0.249,0.000,0.0188,4.560,21.000,0.004,0.000,0.257,0.000,0.000,0.000,0,17.50
6.10,0.248,0.000,0.0188,4.550,22.000,0.004,0.000,0.256,0.000,0.000,0.000,0,17.50
6.12,3.739,0.023,0.0227,4.550,19.000,0.594,0.000,3.749,0.022,0.602,0.546,0,18.50
6.14,5.910,0.023,0.0230,4.510,20.000,0.378,0.000,5.920,0.022,0.382,0.529,0,19.00
6.16,5.772,0.027,0.0230,4.540,16.000,0.456,0.000,5.782,0.026,0.461,0.611,0,19.00
6.18,5.399,0.030,0.0228,4.550,17.000,0.558,0.000,5.408,0.030,0.563,0.695,0,19.00
6.20,5.072,0.030,0.0231,4.550,16.000,0.578,0.000,5.081,0.029,0.584,0.601,0,19.00
